1	169
1	386
1	461
1	544
1	549
1	578
1	825
2	8
2	135
2	515
2	600
2	603
2	669
2	800
3	16
3	278
3	378
3	416
3	479
3	561
3	990
4	471
4	589
4	626
4	761
4	787
4	826
4	853
5	398
5	953
5	968
5	971
5	976
5	978
5	981
6	406
6	447
6	577
6	621
6	656
6	712
6	792
7	322
7	491
7	612
7	661
7	740
7	802
7	912
8	2
8	367
8	383
8	603
8	654
8	782
8	800
9	648
9	692
9	717
9	751
9	762
9	796
9	807
10	29
10	491
10	612
10	655
10	740
10	745
10	802
11	116
11	174
11	674
11	688
11	699
11	701
11	794
12	455
12	470
12	738
12	752
12	770
12	811
12	813
13	808
13	809
13	810
13	868
13	880
13	902
13	996
14	40
14	305
14	522
14	641
14	718
14	749
14	982
15	190
15	244
15	523
15	535
15	708
15	832
15	837
16	3
16	43
16	369
16	527
16	561
16	658
16	748
17	21
17	97
17	116
17	228
17	404
17	706
17	724
18	376
18	536
18	619
18	721
18	817
18	872
18	874
19	714
19	846
19	886
19	920
19	922
19	950
19	951
20	419
20	512
20	581
20	659
20	725
20	827
20	841
21	17
21	126
21	406
21	565
21	674
21	699
21	794
22	259
22	293
22	336
22	542
22	644
22	693
22	765
23	224
23	333
23	448
23	502
23	708
23	744
23	832
24	769
24	780
24	860
24	879
24	887
24	894
24	992
25	798
25	808
25	809
25	810
25	868
25	880
25	902
26	83
26	430
26	586
26	729
26	840
26	859
26	862
27	155
27	801
27	814
27	937
27	938
27	962
27	967
28	568
28	734
28	847
28	881
28	882
28	897
28	931
29	10
29	143
29	210
29	316
29	612
29	689
29	802
30	74
30	264
30	308
30	515
30	566
30	782
30	800
31	458
31	581
31	665
31	725
31	812
31	827
31	841
32	719
32	789
32	838
32	871
32	890
32	924
32	933
33	652
33	984
33	988
33	992
33	993
33	994
33	995
34	303
34	345
34	544
34	549
34	555
34	660
34	825
35	74
35	135
35	515
35	669
35	696
35	782
35	800
36	598
36	650
36	752
36	770
36	793
36	813
36	957
37	45
37	112
37	141
37	145
37	530
37	539
37	720
38	43
38	378
38	416
38	572
38	658
38	673
38	748
39	761
39	990
39	991
39	992
39	993
39	994
39	995
40	14
40	299
40	332
40	617
40	641
40	718
40	759
41	953
41	961
41	968
41	971
41	976
41	978
41	981
42	775
42	883
42	912
42	931
42	937
42	938
42	944
43	16
43	38
43	188
43	516
43	546
43	561
43	748
44	737
44	915
44	933
44	964
44	965
44	966
44	972
45	37
45	619
45	720
45	782
45	817
45	872
45	874
46	581
46	986
46	989
46	997
46	998
46	999
46	1000
47	988
